top_level,fine_genre,lastfm_tag,notes,piechart category,band color
Rock,Classic Rock,rock,,Rock,Classic Rock
Rock,Classic Rock,classic rock,,Rock,Classic Rock
Rock,Classic Rock,hard rock,,Rock,Classic Rock
Rock,Classic Rock,blues rock,,R&B / Soul / Funk,blues
Rock,Classic Rock,rock n roll,alias,Rock,Classic Rock
Rock,Classic Rock,Rock and Roll,alias,Rock,Classic Rock
Rock,Classic Rock,soft rock,,Rock,Classic Rock
Rock,Classic Rock,pop rock,,Pop,Pop
Rock,Classic Rock,glam rock,,Rock,glam
Rock,Classic Rock,rockabilly,,rockabilly/Garage,rockabilly/Garage
Rock,Indie / Alternative,indie rock,,Indie / Alternative,indie
Rock,Indie / Alternative,indie,broad tag - appears everywhere,Indie / Alternative,indie
Rock,Indie / Alternative,alternative rock,,Indie / Alternative,alternative
Rock,Indie / Alternative,alternative,broad tag - appears everywhere,Indie / Alternative,alternative
Rock,Indie / Alternative,britpop,British indie 90s,Indie / Alternative,indie
Rock,Indie / Alternative,Grunge,,Indie / Alternative,Grunge
Rock,Indie / Alternative,grunge,alias,Indie / Alternative,Grunge
Rock,Indie / Alternative,noise rock,,Indie / Alternative,noise rock
Rock,Indie / Alternative,math rock,,Indie / Alternative,math rock
Rock,Indie / Alternative,art rock,,Rock,Progressive
Rock,Indie / Alternative,jangle pop,,Indie / Alternative,indie
Rock,Indie / Alternative,power pop,,Pop,Power Pop
Rock,Indie / Alternative,chamber pop,orchestral indie,Indie / Alternative,indie
Rock,Indie / Alternative,twee,,Pop,Twee
Rock,Indie / Alternative,indietronica,indie + electronic,Indie / Alternative,indie
Rock,Progressive Rock,Progressive rock,,Rock,Progressive
Rock,Progressive Rock,Progressive,alias,Rock,Progressive
Rock,Progressive Rock,krautrock,German 70s experimental rock,Rock,Progressive
Rock,Progressive Rock,art rock,overlaps art/prog,Rock,Progressive
Rock,Progressive Rock,space rock,,Rock,Progressive
Rock,Psychedelic Rock,Psychedelic Rock,,psychedelic,psychedelic
Rock,Psychedelic Rock,psychedelic,,psychedelic,psychedelic
Rock,Psychedelic Rock,Neo-Psychedelia,,psychedelic,psychedelic
Rock,Psychedelic Rock,Stoner Rock,,psychedelic,psychedelic
Rock,Psychedelic Rock,psychedelia,alias,psychedelic,psychedelic
Rock,Post-Rock,post-rock,,Rock,Post-Rock
Rock,Post-Rock,post rock,alias,Rock,Post-Rock
Rock,Post-Rock,Experimental Rock,,Rock,Experimental
Rock,Garage Rock,Garage Rock,,rockabilly/Garage,rockabilly/Garage
Rock,Garage Rock,garage rock,alias,rockabilly/Garage,rockabilly/Garage
Rock,Southern Rock,Southern Rock,,Rock,Rock
Rock,Glam / Hair,glam rock,,Rock,glam
Rock,Glam / Hair,new romantic,overlaps with New Wave,New Wave,New Wave
Metal,Heavy Metal,metal,,metal,Heavy Metal
Metal,Heavy Metal,heavy metal,,metal,Heavy Metal
Metal,Heavy Metal,speed metal,,metal,Heavy Metal
Metal,Heavy Metal,alternative metal,,metal,Heavy Metal
Metal,Heavy Metal,Nu Metal,,metal,Heavy Metal
Metal,Heavy Metal,nu metal,alias,metal,Heavy Metal
Metal,Heavy Metal,industrial metal,,metal,Heavy Metal
Metal,Heavy Metal,industrial rock,,metal,Heavy Metal
Metal,Heavy Metal,Post-Metal,,metal,Heavy Metal
Metal,Black Metal,black metal,,metal,Black Metal
Metal,Black Metal,atmospheric black metal,,metal,Black Metal
Metal,Black Metal,depressive black metal,,metal,Black Metal
Metal,Black Metal,viking metal,,metal,Black Metal
Metal,Death Metal,death metal,,metal,Death Metal
Metal,Death Metal,Melodic Death Metal,,metal,Death Metal
Metal,Death Metal,Brutal Death Metal,,metal,Death Metal
Metal,Death Metal,Technical Death Metal,,metal,Death Metal
Metal,Death Metal,deathcore,,metal,Death Metal
Metal,Thrash Metal,thrash metal,,metal,Thrash Metal
Metal,Doom Metal,doom metal,,metal,Doom Metal
Metal,Doom Metal,Sludge,,metal,Doom Metal
Metal,Doom Metal,sludge metal,alias,metal,Doom Metal
Metal,Gothic Metal,Gothic Metal,,metal,Gothic Metal
Metal,Gothic Metal,symphonic metal,,metal,Gothic Metal
